"certified","forum.posts","grade","assignment"
"yes",140,2,14
"yes",78,2,11
"yes",17,4,10
"yes",158,6,14
"yes",131,3,13
"yes",37,4,16
"yes",51,2,13
"yes",139,3,15
"yes",143,5,6
"no",71,2,13
"yes",118,3,15
"yes",51,4,1
"yes",2,7,6
"no",1,5,13
"no",15,3,6
"yes",9,4,15
"yes",206,4,16
"yes",52,3,9
"yes",128,3,5
"yes",131,5,16
"no",131,4,17
"yes",175,3,13
"yes",130,2,13
"yes",68,5,12
"no",131,5,17
"yes",159,3,16
"yes",8,2,14
"yes",78,2,13
"yes",159,5,14
"yes",118,3,15
"no",127,5,17
"yes",127,4,11
"yes",1,5,9
"yes",87,3,8
"yes",68,4,13
"yes",22,4,16
"yes",158,2,1
"yes",105,2,16
"yes",1,2,16
"yes",78,2,13
"yes",20,3,8
"yes",175,4,16
"no",17,3,8
"no",151,3,16
"yes",37,5,9
"yes",131,4,13
"yes",17,3,10
"no",1,5,13
"yes",93,2,14
"no",158,2,1
"yes",97,3,15
"yes",168,2,13
"yes",17,5,14
"yes",2,4,1
"yes",11,3,16
"yes",125,4,11
"yes",121,4,16
"yes",11,4,13
"no",71,3,9
"yes",195,3,5
"yes",59,5,13
"no",177,6,6
"yes",1,4,1
"yes",72,2,13
"yes",61,5,13
"yes",37,2,15
"yes",151,5,16
"yes",127,9,9
"yes",73,3,15
"yes",136,7,6
"yes",121,5,15
"no",114,5,17
"yes",37,3,2
"yes",127,5,16
"yes",96,5,16
"yes",9,3,13
"yes",97,4,16
"no",130,3,16
"yes",87,3,8
"yes",80,7,14
"yes",131,2,2
"no",127,3,3
"yes",80,5,16
"yes",175,5,14
"yes",131,5,13
"no",177,5,17
"yes",31,4,16
"yes",148,4,17
"yes",71,2,13
"yes",93,3,16
"yes",61,3,5
"yes",37,3,11
"yes",1,5,3
"no",130,5,16
"no",15,4,16
"yes",130,4,3
"yes",120,2,6
"yes",61,4,16
"yes",18,2,6
"yes",2,7,16
"yes",51,2,17
"no",178,5,1
"yes",91,3,6
"yes",131,4,17
"yes",71,6,17
"yes",100,9,5
"yes",206,4,10
"yes",125,5,15
"yes",206,5,15
"yes",93,5,13
"yes",158,2,9
"yes",81,3,14
"yes",140,4,13
"yes",127,3,16
"yes",130,10,13
"yes",1,3,15
"yes",158,4,13
"yes",148,3,14
"yes",175,3,2
"yes",195,3,8
"yes",148,3,16
"yes",17,4,13
"yes",113,6,11
"yes",15,3,15
"no",81,2,6
"yes",31,5,16
"yes",151,3,5
"no",178,3,3
"no",1,3,16
"no",72,5,16
"yes",139,2,8
"no",37,2,6
"yes",20,5,17
"yes",136,3,13
"yes",80,2,17
"yes",18,3,16
"yes",120,5,13
"yes",158,2,11
"yes",1,3,17
"no",1,2,13
"yes",105,3,6
"no",206,4,14
"yes",36,5,1
"yes",128,5,17
"yes",158,3,10
"no",158,3,16
"yes",114,4,9
"yes",18,2,16
"no",71,3,1
"no",96,4,16
"no",120,6,15
"yes",120,3,10
"no",68,3,1
"yes",15,4,15
"yes",9,3,14
"yes",36,4,9
"yes",78,3,3
"no",1,4,15
"yes",125,5,16
"yes",105,5,12
"yes",131,3,8
"yes",100,3,1
"yes",59,3,12
"yes",206,6,1
"yes",130,5,16
"yes",27,2,12
"no",102,5,16
"yes",73,3,14
"yes",37,5,12
"no",80,4,5
"yes",102,5,1
"yes",139,5,10
"yes",131,4,16
"no",15,5,9
"no",73,5,17
"no",2,7,13
"yes",1,3,13
"yes",22,2,16
"no",81,2,16
"yes",61,7,13
"no",114,4,13
"yes",11,2,2
"yes",128,5,16
"yes",20,9,13
"yes",112,5,9
"yes",61,7,13
"yes",27,7,12
"no",20,5,12
"no",78,3,16
"yes",93,3,15
"yes",100,2,10
"yes",113,3,16
"yes",1,4,3
"yes",125,4,16
"yes",114,5,16
"yes",1,3,15
"yes",136,3,9
"no",125,5,9
"yes",17,2,15
"yes",22,5,9
"yes",177,5,1
"yes",105,5,1
"yes",37,3,16
"yes",37,2,5
"yes",18,2,16
"yes",78,4,16
"yes",139,2,13
"yes",22,6,9
"no",9,4,16
"no",136,4,13
"yes",139,3,16
"yes",1,5,16
"yes",73,3,12
"yes",158,2,17
"yes",15,5,1
"yes",27,4,17
"no",105,5,12
"yes",206,3,10
"yes",20,3,2
"no",140,6,16
"yes",52,4,16
"yes",37,5,11
"yes",1,3,15
"no",8,3,13
"no",2,2,14
"yes",15,6,10
"yes",27,5,5
"no",2,3,2
"yes",81,4,3
"yes",97,4,13
"yes",131,7,16
"no",22,2,17
"no",177,5,8
"yes",140,3,6
"yes",18,5,10
"no",9,4,10
"yes",8,2,16
"yes",20,3,16
"yes",31,3,10
"yes",120,2,13
"yes",128,5,15
"no",26,3,9
"yes",178,7,13
"yes",26,3,13
"yes",80,4,14
"yes",157,4,16
